ID my.ID
98209_G06 YOR112
98209_G07 YOR113
98209_H06 YOR114
98216_G11 YOR115
98194_B11 YOR116
98194_C09 YOR117
98194_D01 YOR118
98194_D02 YOR119
98194_D09 YOR120
98194_G09 YOR121
98194_H09 YOR122
98199_A10 YOR123
98199_B10 YOR124
98199_C07 YOR125
98199_D08 YOR126
98199_E06 YOR127
98199_E10 YOR128
98199_F06 YOR129
98199_F10 YOR130
98199_G08 YOR131
98199_H08 YOR132
98209_D05 YOR133
98209_E04 YOR134
98216_D11 YOR135
98194_A07 YOR136
98194_B07 YOR137
98194_F04 YOR138
98194_F08 YOR139
98194_G02 YOR140
98194_H02 YOR141
98199_A09 YOR142
98199_B12 YOR143
98199_C11 YOR144
98199_D11 YOR145
98200_C01 YOR146
98200_D01 YOR147
98209_B03 YOR148
98209_B06 YOR149
98194_H12 YOR150
98195_B01 YOR151
98195_C01 YOR152
98209_A04 YOR153
98209_A05 YOR154
98209_C02 YOR155
98209_C05 YOR156
98215_E12 YOR157
98215_F11 YOR158
98215_G03 YOR159
94249_B01 YOR160
94249_B09 YOR161
94249_C01 YOR162
94249_F02 YOR163
94249_F07 YOR164
94249_H04 YOR165
94250_B07 YOR166
94250_C10 YOR167
94250_D03 YOR168
94250_D08 YOR169
94250_D09 YOR170
94250_E01 YOR171
94250_E02 YOR172
94250_E03 YOR173
94250_E08 YOR174
94250_F12 YOR175
94250_H09 YOR176
98195_F07 CHE1
98195_G07 CHE2
98195_A07 CHE3
98195_D07 CHE4
98195_A02 CHE5
98195_A03 CHE6
98195_A05 CHE7
98195_A06 CHE8
98195_B02 CHE9
98195_B04 CHE10
98195_C02 CHE11
98195_C04 CHE12
98195_C06 CHE13
98195_D01 CHE14
98195_D02 CHE15
98195_D03 CHE16
98195_D04 CHE17
98195_D05 CHE18
98195_D06 CHE19
98195_E01 CHE20
98195_E02 CHE21
98195_E03 CHE22
98195_E04 CHE23
98195_E06 CHE24
98195_F01 CHE25
98195_F02 CHE26
98195_F04 CHE27
98195_F05 CHE28
98195_F06 CHE29
98195_G01 CHE30
98195_G02 CHE31
98195_G04 CHE32
98195_G05 CHE33
98195_H02 CHE34
98195_H03 CHE35
98195_H04 CHE36
98195_H05 CHE37
98195_H06 CHE38
98214_F12 CHE39
98215_G02 CHE40
98195_H07 NHA1
98195_G08 NHA2
98195_G12 NHA3
98195_C11 NHA4
98195_D11 NHA5
98195_E09 NHA6
98195_F08 NHA7
98216_A07 NHA8
98216_B07 NHA9
98195_A09 NHA10
98195_A10 NHA11
98195_B09 NHA12
98195_B10 NHA13
98195_C10 NHA14
98195_G09 NHA15
98195_H09 NHA16
98195_E10 NHA17
98195_F10 NHA18
98195_A11 NHA19
98195_C12 NHA20
98195_D12 NHA21
98195_F11 NHA22
98195_F12 NHA23
98216_E07 NHA24
98195_G11 NHA25
98195_H11 NHA26
98216_C07 NHA27
98216_D07 NHA28
98196_C01 NHA29
98214_A04 NHA30
98214_A06 NHA31
98214_A10 NHA32
98214_A11 NHA33
98214_B01 NHA34
